ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5684747,HN492477,07/26/2007 06:45:00 PM,005XX N STATE ST,0870,THEFT,POCKET-PICKING,GROCERY FOOD STORE,false,false,1831,018,42,8,06,1176272,1904025,2007,04/15/2016 08:55:02 AM,41.89200307,-87.628076963,"(41.89200307, -87.628076963)"
5684748,HN358823,05/22/2007 07:20:00 PM,011XX N CENTRAL PARK AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1112,011,27,23,18,1152170,1907223,2007,04/15/2016 08:55:02 AM,41.901288202,-87.716508788,"(41.901288202, -87.716508788)"
5684749,HN493850,07/27/2007 11:00:00 PM,032XX W DICKENS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1413,014,35,22,14,1154005,1913763,2007,04/15/2016 08:55:02 AM,41.919198138,-87.709593933,"(41.919198138, -87.709593933)"
5684751,HN494048,07/27/2007 08:00:00 PM,033XX W LE MOYNE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1422,014,26,23,14,1153790,1909768,2007,04/15/2016 08:55:02 AM,41.908239798,-87.710490467,"(41.908239798, -87.710490467)"
5684753,HN494068,07/28/2007 01:00:00 AM,0000X W 79TH ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,0623,006,6,44,06,1177483,1852629,2007,04/15/2016 08:55:02 AM,41.750940757,-87.625185222,"(41.750940757, -87.625185222)"
5684754,HN494051,07/27/2007 06:00:00 PM,018XX N WILMOT AVE,0810,THEFT,OVER $500,STREET,false,false,1434,014,32,22,06,1161014,1912484,2007,04/15/2016 08:55:02 AM,41.915545695,-87.683877562,"(41.915545695, -87.683877562)"
5684755,HN494053,07/27/2007 08:00:00 PM,003XX N DESPLAINES ST,0810,THEFT,OVER $500,STREET,false,false,1212,012,27,28,06,1171875,1902157,2007,04/15/2016 08:55:02 AM,41.8869752,-87.644280168,"(41.8869752, -87.644280168)"
5684756,HN493095,07/27/2007 08:50:00 PM,007XX W EVERGREEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,1822,018,27,8,08B,1170887,1909222,2007,04/15/2016 08:55:02 AM,41.906383704,-87.647701013,"(41.906383704, -87.647701013)"
5684758,HN493620,07/28/2007 01:10:00 AM,032XX W LE MOYNE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1422,014,26,23,14,1154435,1909785,2007,04/15/2016 08:55:02 AM,41.908273571,-87.708120597,"(41.908273571, -87.708120597)"
5684759,HN493558,07/28/2007 01:34:00 AM,032XX W DICKENS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,true,false,1413,014,35,22,14,1154082,1913764,2007,04/15/2016 08:55:02 AM,41.919199345,-87.709310998,"(41.919199345, -87.709310998)"
